year,up,low,error_up,error_low
1798,11.694315068493156,-11.410684931506848,0.3363043414283826,-0.3363043414283826
1799,11.40650684931507,-12.94849315068493,0.36535758296476395,-0.36535758296476395
1800,10.510551724137937,-11.409448275862067,0.32247804499135846,-0.32247804499135846
1801,9.788356164383563,-10.966643835616438,0.28753156537803726,-0.28753156537803726
1802,11.821849315068496,-11.003150684931507,0.32354589923802024,-0.32354589923802024
1803,12.133862068965522,-11.746137931034482,0.33471451251618056,-0.33471451251618056
1804,11.34044016506189,-11.399559834938103,0.32869015882606867,-0.32869015882606867
1805,11.753356164383561,-10.746643835616439,0.3317640473658354,-0.3317640473658354
1806,9.592808219178085,-9.112191780821917,0.27336692987504385,-0.27336692987504385
1807,12.236344827586208,-11.113655172413793,0.32679594440778104,-0.32679594440778104
1808,12.674508196721309,-12.070491803278689,0.3645099355429213,-0.3645099355429213
1809,10.903767123287674,-10.011232876712327,0.31109535891970097,-0.31109535891970097
1810,10.669862068965516,-10.710137931034483,0.31026853390024733,-0.31026853390024733
1811,11.12205479452055,-12.387945205479452,0.3436255907881556,-0.3436255907881556
1812,11.469808743169398,-12.825191256830601,0.34256719475434316,-0.34256719475434316
1813,9.499724137931032,-10.400275862068966,0.28920603615502216,-0.28920603615502216
1814,10.897552155771907,-10.972447844228094,0.3226490800912494,-0.3226490800912494
1815,9.857762557077626,-10.992237442922374,0.2375015815927526,-0.2375015815927526
1816,9.595264116575592,-9.104735883424407,0.2215956057580275,-0.2215956057580275
1817,10.27362385321101,-8.27637614678899,0.20815174523219682,-0.20815174523219682
1818,9.297625570776257,-9.402374429223745,0.22541418127053348,-0.22541418127053348
1819,9.959908675799088,-9.880091324200912,0.22934937384716747,-0.22934937384716747
1820,10.909016393442622,-10.440983606557376,0.2511793720712845,-0.2511793720712845
1821,8.918027522935779,-9.486972477064219,0.21381557156136388,-0.21381557156136388
1822,10.071100917431192,-9.343899082568807,0.23057199495237768,-0.23057199495237768
1823,10.706803652968038,-9.343196347031963,0.24564800647975993,-0.24564800647975993
1824,9.263654371584703,-8.8713456284153,0.18613223295235137,-0.18613223295235137
1825,9.787397260273977,-8.967602739726027,0.1938584514048376,-0.1938584514048376
1826,11.186541095890417,-10.16845890410959,0.22293761824274938,-0.22293761824274938
1827,10.628664383561642,-11.021335616438357,0.2235311235775459,-0.2235311235775459
1828,9.834938524590163,-9.415061475409837,0.20207303944407506,-0.20207303944407506
1829,10.936335616438363,-12.368664383561644,0.23899957469859068,-0.23899957469859068
1830,10.694006849315077,-11.66599315068493,0.2381108339714313,-0.2381108339714313
1831,9.320515463917525,-9.939484536082473,0.2000871916670448,-0.2000871916670448
1832,9.333053278688528,-9.436946721311475,0.1946445824716907,-0.1946445824716907
1833,8.916639254385965,-8.518360745614034,0.1616120970786703,-0.1616120970786703
1834,10.038849315068495,-9.311150684931505,0.1715727857072622,-0.1715727857072622
1835,9.65254794520548,-9.39745205479452,0.17188468519569433,-0.17188468519569433
1836,9.269289617486338,-8.785710382513662,0.16628587727428012,-0.16628587727428012
1837,10.241972602739725,-9.008027397260275,0.17439592146746463,-0.17439592146746463
1838,10.19276712328768,-11.247232876712328,0.20462612853000195,-0.20462612853000195
1839,9.46054794520548,-9.489452054794521,0.17374415442841773,-0.17374415442841773
1840,9.74326607226654,-10.80673392773346,0.17654827688547492,-0.17654827688547492
1841,10.09438356164384,-11.215616438356165,0.1773778186711077,-0.1773778186711077
1842,10.839954337899544,-10.310045662100457,0.1734606514907835,-0.1734606514907835
1843,9.451626394052044,-9.093373605947955,0.15825668220641198,-0.15825668220641198
